polled_at_utc,state,site_id,lat,lng,temp_f,short_forecast,precip_pct,wind_mph,snow,ice,is_rain,is_heavy_rain,state_severe_alert,m_weather_delta
2026-08-11T00:00:45Z,IL,IL00072IE015200041,39.9923,-88.7827,84,Mostly Cloudy,12,8,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00074IE011400005,40.6125,-89.245,80,Slight Chance Showers And Thunderstorms,15,7,False,False,True,True,False,0.1
2026-08-11T00:00:45Z,IL,IL00074IW015600009,40.2711,-88.6701,83,Mostly Cloudy,14,8,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00055IN002700029,38.8649,-89.8532,88,Partly Cloudy,8,5,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00057IS007900047,38.0962,-88.9138,90,Partly Cloudy,3,7,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00074IW020800052,40.1298,-87.7441,82,Mostly Cloudy,14,6,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00055IN006400027,39.3465,-89.6408,85,Partly Cloudy,12,5,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00074IE015600037,40.2732,-88.6762,84,Mostly Cloudy,14,8,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00057IN033300049,41.3892,-87.7729,83,Chance Showers And Thunderstorms,26,5,False,False,True,True,False,0.1
2026-08-11T00:00:45Z,IL,IL00080IW005100013,41.3937,-89.5591,85,Chance Showers And Thunderstorms,27,5,False,False,True,True,False,0.1
2026-08-11T00:00:45Z,IL,IL00055IS019400021,40.8371,-88.6833,85,Slight Chance Showers And Thunderstorms,15,5,False,False,True,True,False,0.1
2026-08-11T00:00:45Z,IL,IL00072IW015200014,39.9888,-88.7852,84,Mostly Cloudy,12,8,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00039IS008500026,41.7285,-89.0105,82,Showers And Thunderstorms Likely,55,0,False,False,True,True,False,0.1
2026-08-11T00:00:45Z,IL,IL00057IN007900034,38.0297,-88.9203,89,Partly Cloudy,3,6,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00024IW003700010,37.1593,-88.6798,87,Mostly Clear,1,5,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00074IE002800030,41.2334,-90.333,85,Mostly Clear,12,5,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00055IN010400050,39.8627,-89.5948,84,Partly Cloudy,11,7,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00064IW002500011,38.5491,-89.7633,88,Partly Cloudy,2,6,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00055IN019400031,40.8234,-88.6875,85,Slight Chance Showers And Thunderstorms,15,5,False,False,True,True,False,0.1
2026-08-11T00:00:45Z,IL,IL00039IN008500036,41.7236,-89.0062,82,Showers And Thunderstorms Likely,55,0,False,False,True,True,False,0.1
2026-08-11T00:00:45Z,IL,IL00055IS002700019,38.8723,-89.8511,88,Partly Cloudy,8,5,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00055IN014900028,40.3599,-89.1099,82,Mostly Cloudy,13,7,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00074IW002800020,41.2141,-90.3308,85,Mostly Clear,12,5,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00080IE005100040,41.3938,-89.5665,85,Chance Showers And Thunderstorms,27,5,False,False,True,True,False,0.1
2026-08-11T00:00:45Z,IL,IL00070IE008600051,39.0651,-88.6745,87,Partly Cloudy,11,6,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00057IS033300046,41.3918,-87.7749,82,Chance Showers And Thunderstorms,27,5,False,False,True,True,False,0.1
2026-08-11T00:00:45Z,IL,IL00070IW002700015,38.7884,-89.6889,87,Mostly Cloudy,6,5,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00057IN022200048,39.9218,-88.299,83,Mostly Cloudy,13,7,False,False,False,False,False,0.0
2026-08-11T00:00:45Z,IL,IL00055IS006400017,39.3523,-89.6447,85,Partly Cloudy,12,5,False,False,False,False,False,0.0
