polled_at_utc,state,site_id,time_stamp,reported_available,capacity,trend,open,trust_data,low_threshold
2026-08-17T00:12:13Z,IL,IL00074IE011400005,2026-08-17T00:11:34Z,18,25,CLEARING,True,True,
2026-08-17T00:12:13Z,IL,IL00055IN002700029,2026-08-17T00:12:01Z,Unknown,0,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00055IS002700019,2026-08-17T00:12:01Z,Unknown,0,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00064IE008500039,2026-08-17T00:12:01Z,Unknown,0,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00072IE015200041,2026-08-17T00:10:30Z,11,16,FILLING,True,True,
2026-08-17T00:12:13Z,IL,IL00074IW002800020,2026-08-17T00:12:01Z,Unknown,15,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00074IW015600009,2026-08-17T00:12:01Z,0,0,Unknown,False,False,
2026-08-17T00:12:13Z,IL,IL00055IS019400021,2026-08-17T00:12:01Z,Unknown,29,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00064IW008500012,2026-08-17T00:12:02Z,Unknown,0,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00070IE008600051,2026-08-17T00:12:02Z,0,0,Unknown,False,False,
2026-08-17T00:12:13Z,IL,IL00074IE002800030,2026-08-17T00:12:02Z,Unknown,14,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00080IE011700043,2026-08-17T00:12:02Z,Unknown,31,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00080IW005100013,2026-08-17T00:12:02Z,Unknown,47,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00057IN026800032,2026-08-17T00:12:02Z,Unknown,25,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00055IN006400027,2026-08-17T00:12:02Z,Unknown,0,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00072IW015200014,2026-08-17T00:12:02Z,Unknown,17,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00057IN033300049,2026-08-17T00:12:02Z,Unknown,0,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00074IW020800052,2026-08-17T00:12:02Z,Unknown,0,Unknown,True,False,
2026-08-17T00:12:13Z,IL,IL00055IN010400050,2026-08-17T00:12:02Z,0,0,Unknown,False,False,
2026-08-17T00:12:13Z,IL,IL00064IW013000053,2026-08-17T00:12:02Z,0,0,Unknown,False,False,
2026-08-17T00:12:13Z,IL,IL00039IN008500036,2026-08-17T00:12:02Z,Unknown,42,Unknown,True,False,
